sentence_column_name|tag_column_name
Försäljningen i Finland minskade med X,X % och den internationella försäljningen minskade med X,X % i euro och med X,X % i lokala valutor.|0
Såvitt känt har han inte sålt aktier som han äger personligen.|1
ALEXANDRIA, Va., X januari – USA-patent nr. X X X , utfärdat den X januari , tilldelades Kemira Chemicals Inc . ( Marietta , Ga . ) .|1
Karppinen förväntar sig att konsolideringstrenden kommer att fortsätta på den finska marknaden.|1
Vi är glada att kunna bjuda in dig till M-reals internationella telefonkonferens klockan X:X EET.|1
Rörelseresultatet uppgick till X,X miljoner euro, en minskning från X,X miljoner euro året innan.|0
OUTOTEC OYJ PRESSMEDDELANDE , X FEBRUARI X KL X.X Outotec har vunnit två stora beställningar av mineralbearbetningsteknologi från Mirabela Mineracao do Brasil Ltda , Brasilien och från Cumerio Med JSCo , Bulgarien .|2
Företaget förväntar sig en nettoomsättning på X miljoner euro (X,X miljoner USD) för X.|1
Omsättningstillväxten har fortsatt positivt i Mellanöstern och Afrika och i Asien och Stillahavsområdet.|2
Under första kvartalet X uppgick bolagets resultat före skatt från kvarvarande verksamheter, exklusive poster av engångskaraktär, till -X,X miljoner euro, jämfört med -X,X miljoner euro under motsvarande period X.|0
Provisionsintäkterna minskade till X,X miljoner euro , jämfört med X,X miljoner euro tredje kvartalet X .|0
Förra veckan meddelade dock Nokia att de kommer att fortsätta ett långsiktigt samarbete med Microsoft och göra operativsystemet Windows Phone X till grunden för Nokias mobiltelefoner.|1
Dessa nya enheter kommer att byggas vid Cargotecs toppmoderna tillverkningsanläggning i San Antonio, Texas, USA, som startade sin verksamhet X.|1
Elisa VD Sami Seppanen sa att EMT:s slogan &quot;Bästa täckning över hela Estland&quot; tydligt ger vilseledande information till konsumenterna.|0
Kedjan ska förena X-X centra i slutet av X.|1
För närvarande är varumärket Pit-Produkt föga känt utanför nordvästra Ryssland.|0
De två företagen kommer också att samarbeta för att vidareutveckla Raisos kolesterolsänkande varumärke, Benecol.|2
Försäljningen kommer att göra det möjligt för Campofrio att fokusera på sitt nyligen tillkännagivna övertagande av Groupe Smithfield Holdings, den europeiska enheten för Smithfield Foods Inc. (SFD) i USA|1
- Bland andra finska aktier som handlas i USA stängde Stora Enso X,X pct lägre på X,X euro, UPM-Kymmene steg X,X pct vid X,X euro och Metso gick ner X,X pct vid X,X euro.|1
Rörelseresultatet för de asiatiska fabrikerna ökade markant.|2
BG AD, Bulgariens ledande internetföretag.|2
Patrizia lägger till förvärvet till en portfölj som redan är värd X miljarder euro.|1
Mobiltelefonförsäljningen ökade med X % till X,X miljarder euro, medan försäljningen av företagslösningar sjönk med X % till X miljoner euro.|2
Marknadsförare i Sydostasien spenderar X miljoner USD för att skaffa användare när efterfrågan på fintech-appar ökar X|1
Kontrakten omfattar nyckelfärdiga beställningar av RoRo-system för två RoRo-kryssningsfartyg under konstruktion för Viking Line och Tallink.|1
Lee sa att han hoppas att Nestes drag kommer att &quot;bana väg för fler samarbetsprojekt mellan våra två länder&quot;.|2
Helsingforsbaserade Componenta köpte det turkiska börsnoterade företaget Doktas i oktober X för X miljoner euro, vilket gör det till den största finska investeringen i Turkiet hittills.|1
Den bekräftade också sin vinstguidning för hela X i sin rapport för hela X .|1
Bolagets vinst före skatt sjönk till X,X miljoner euro under tredje kvartalet X, jämfört med X,X miljoner euro under motsvarande period X.|0
En undersökning gjord av Taloustutkimus för Sampo Liv visar att företagen är dåligt förberedda på att förlora nyckelpersoner.|0
Repeats ser X års rörelsevinst nedåt yy ( Rapportering av Helsinki Newsroom ) Nyckelord : TECNOMEN-RESULTS|0
Dessutom tecknade Kone ett tvåårigt underhållskontrakt för rulltrapporna.|2
Idén att spara el vid dataöverföring är fortfarande ny.|1
Myanmars juntachef kommer att delta i Asean-toppmötet|1
Privata utgifter stagnerade i maj när priserna steg.|0
Den potentiella köparen är Cencorp Corporation som är en närstående enhet till SAV på grund av att var och en av SAV och Cencorp är ett dotterbolag till finska Savcor Group Oy.|1
Los Angeles-baserade Pacific Office Properties Trust förvärvar, äger och driver kontorsfastigheter i västra USA, med fokus till en början på marknaderna Honolulu, San Diego, Los Angeles och Phoenix.|1
Läkemedelsmarknaden i Polen Global Research &amp; Data Services publicerade nyligen en marknadsanalys om läkemedelsmarknaderna i Polen.|1
Styrelsen har föreslagit den extra bolagsstämman att bemyndiga styrelsen att besluta om emission av högst X miljoner nya aktier i en eller flera nyemissioner.|1
Det inkluderar alternativ för ytterligare X gemensamma byggarbetsplatser samt byggövervakningsarbeten för alla byggarbetsplatser.|1
&quot; Sammantaget är vi nöjda med startkurvan ... och vi är nöjda med kvaliteten på tidningen , &quot; sa Stora taleskvinna Patricia Dietz på tisdagen .|2
Rörelseresultatet uppgick till X,X miljoner euro , upp från en förlust på X,X miljoner euro under fjärde kvartalet X .|2
rosendal på outotec.com Eila Paatela, Vice President - Corporate Communications tel. +X X X X , +X X X e-post eila .|1
De totala rörelseintäkterna ökade med X,X % på årsbasis till X miljoner euro.|2
Svyturys-Utenos Alus, som kontrolleras av den nordiska koncernen Baltic Beverages Holding (BBH), redovisade en ölförsäljningsökning på X,X procent för januari-maj till X,X miljoner liter.|2
Förhandlingarna gäller personal från Cencorp Corporation och Singulase Oy som helhet i Finland och i Sverige, säger företaget.|1
Företag som utvärderas i rapporten inkluderar Aladdin, CA, F-Secure, Kaspersky, Marshal, McAfee, Microsoft, Panda, Proofpoint, Sophos, Symantec, Trend Micro, Tumbleweed och Websense.|1
Avstämningsdag för utdelning är den X mars X .|1
Under rallyt, som godkändes av stadsförvaltningen, kom en konsulattjänsteman ut till arbetarna, talade med dem och tog ett brev från dem.|1
Som den största hissmarknaden i världen fortsatte den kinesiska produktionen av hissar att öka till X X enheter under X, en ökning med cirka X % från år till år.|2
Läkemedelsgruppen Orion Corp rapporterade en nedgång i resultatet för tredje kvartalet som drabbades av större utgifter för FoU och marknadsföring.|0
Enligt produktchef Lassi Hietanen är det kanske ingen bra idé att bygga ett kraftverk som bränner blandat avfall i Helsingfors eftersom det minskar produktionen av kraftverk som använder naturgas.|1
Köpcentret kommer att ha ett utmärkt läge precis intill tunnelbanestationen Myllypuro.|2
Kauko-Telkos centraliserade administration kommer att upplösas och lämpliga delar av den kommer att överföras till den operativa verksamheten och koncernadministrationen före årets slut.|1
Cohen &amp; Steers, Inc.: X X X aktier motsvarande X,X % av aktiekapitalet och rösterna.|1
Det finska dryckesföretaget Olvi är ett av de sista börsbolagen i Finland som ännu inte har offentliggjort sitt finansiella resultat för andra kvartalet X.|1
Syftet med kontoret i St. Petersburg är först att stärka företagets underhållsverksamhet.|1
Efter betalningen i april har företaget totalt X,X miljoner euro i lån från finansinstitut.|1
Finansiella detaljer avslöjades inte.|1
Att kombinera de två tillverkarna kommer att skapa en stark EU-baserad gödselindustri som kan möta global konkurrens, tillade de.|2
Av försäljningspriset kommer en försäljningsvinst på cirka X,X miljoner euro (X,X miljoner USD) att redovisas i Incaps resultat för X.|2
Efter transaktionen höjde Alma Media sin andel i Talentum till X,X % av aktierna och cirka X,X % av rösterna.|2
Omsättningen minskade dock till X,X miljoner euro från X,X miljarder euro.|0
&quot; Efter en lång , olönsam period redovisade Food Division ett lönsamt resultat , vilket talar om en sundare kostnadsstruktur och ett nytt tillvägagångssätt i affärsverksamheten , &quot; sa Rihko .|2
Försäljningen har ökat på övriga exportmarknader.|2
De aktier som tecknades enligt personaloptionerna registrerades i handelsregistret den X januari X, från vilket datum de nya aktierna kommer att ge aktieägarrättigheter.|1
Antalet permanenta neddragningar av tjänstemän är X anställda, varav X i Finland.|0
Utöver de presentationer som hålls av VD och koncernchef Kai Telanne och CFO Tuomas Itkonen kommer deltagarna att ha möjlighet att diskutera med andra medlemmar av företagets ledning.|1
Tre studenter från Universiti Sains Malaysia har vunnit en studieresa till Helsingfors.|1
Bolagets omsättning X uppgick till X,X MEUR med en rörelsemarginal på X,X procent.|1
Dessa sektioner kommer att sättas på plats för att bilda brons bärande stålkonstruktion, säger Sami Eronen, Senior Vice President, Infrastructure and Northern Europe, Ruukki Construction.|1
Den sekundära antennen kan också användas för mottagning av högeffektssignalen från radarn för att kalibrera radarns sändningskanaler. &#X;&#X;|1
ADP News - X februari X - Finska kretskortstillverkaren Aspocomp Group Oyj HEL: ACGXV sa idag att det svängde till en nettovinst på X X EUR X X USD för X jämfört med en nettoförlust på X,X miljoner EUR|2
Tyska Commerzbank AG:s filial i Hamburg och amerikanska JP Morgan (NYSE: JPM) deltog som arrangörer och holländska ING (AMS: INGA) som medarrangör.|1
Den finska förlags- och tryckerikoncernen Ilkka-Yhtym+Æ kommer att införa rökförbud för personal från och med början av X i företagets tre tidningar.|1
Kaupthing Bank kommer att publicera sitt årsresultat för X innan marknaderna öppnar torsdagen den X januari.|1
Compagnie de Financement Foncier - Kommer att utfärda ett benchmark, X-årigt täckt avtal i euro.|1
Vi är nöjda med insatserna från båda förhandlingsteamen och ser fram emot fyra produktiva år framåt. &#X;&#X;|2
Uppfinnarna är Mukkavilli Krishna Kiran, Sabharwal Ashutosh och Aazhang Behnaam.|1
Efter den X april X kommer Cencorp inte att ha några egna anställda i territoriet.|1
Personalminskningarna kommer i första hand att drabba dem som arbetar för moderbolaget inom diagnostikverksamheten eller inom produktion och logistik inom vätskehanteringsverksamheten.|0
I början av förhandlingarna var det uppskattade antalet minskningar högst X stycken.|1
&quot;Vi minskade vår frekvens till New York förra året, vilket förklarar fallet,&quot; sa han.|0
Enligt avtalet kommer GeoSentric att tillhandahålla GyPSii-driven hotellinformation och bokningstjänster till besökare i Kina, inklusive populära städer som Peking och Shanghai.|2
Förra året flög X,X miljoner passagerare flygbolaget, en minskning med X procent från X.|0
Bud eller bud omfattar minst X X aktier och värdet på aktierna måste motsvara minst X X EUR.|1
Som en del av de omorganisationsåtgärder som kommer att ske under våren X kommer Tamglass Finton att inleda personalförhandlingar som kommer att beröra hela dess personalstyrka på X .|0
Eftersom regeringen befriar vissa produkter av rostfritt stål från antidumpningstullar, sa Finland-baserade Outokumpu idag att de kommer att se till att snart ingå leveransavtal med Indian Railways.|1
Bolaget förväntar sig att dess nettoomsättning för hela X kommer att ligga under X års nivå.|0
Finska avfallshanterings- och städkoncernen Lassila &amp; Tikanoja Oyj (L&amp;T) nettovinst minskade till X,X miljoner euro (X,X miljoner USD) för X från X,X miljoner euro (X,X miljoner USD) för X.|0
Den totala investeringen i projektet kommer att uppgå till cirka X miljoner euro.|1
ALEXANDRIA , Virginia , X maj -- Kenneth Bower från Vista , Kalifornien , har utvecklat en dekorativ design för en telefon , meddelade US Patent &amp; Trademark Office .|1
För närvarande finns det cirka X Vianor försäljningskontor i Ryssland.|1
Förändringarna i läsekretsen var inte betydande.|1
Parterna har kommit överens om att inte avslöja transaktionsvärdet.|1
Under X räknar Sanoma Magazines med att nettoomsättningen kommer att ligga på X års nivå.|1
Tekla Structures produktlåda, om det behövs, är nu tillverkad av återvunnet material.|1
Arbetet med uppdraget har redan påbörjats och ska vara klart våren X .|1
Finnair grundades X och är ett av världens äldsta flygbolag och flyger till X destinationer med en flotta på X flygplan och sysselsätter X X personer.|1
Personalens expertis och höga tekniknivå spelar en stor roll i Exel Composites verksamhet.|1
Produktionskapaciteten kan tredubblas utan några större ytterligare investeringar, sa företaget.|2
X januari X - Finnair Oyj (HEL: FIAXS) meddelade idag att de förseglade ett nioårigt sale and leaseback-avtal för sitt nyaste Airbus AX-flygplan för syndikering till den japanska operationella leasingmarknaden.|2
Problemen som identifierats av Stonesoft påverkar en rad innehållsinspektionstekniker.|1
Eftersom utgifter måste motiveras för att klara budgetgodkännandet, tror vi att vår RoP-modell kan bidra till att göra det enklare för IT- och IT-säkerhetsutövare att göra affärsmässiga förutsättningar för att skaffa möjliggörande säkerhetsteknik och relaterade kontrollaktiviteter.|1
LG Display visar en stark vinst under första kvartalet på panelprishöjning|2
Teknikparken kommer att byggas nära St. Petersburg-baserade flygplatsen i Pulkovo.|1
Reparations- och underhållsverksamheten svarade för en nettoomsättning på X,X miljoner euro, en ökning från X,X miljoner euro.|2
Antniemi tillbakavisade en rapport från den finska dagstidningen Turun Sanomat som om företaget skulle omorganisera sin verksamhet i de baltiska länderna.|1
Företaget sa att det uppskattar att göra en liten vinst tack vare kostnadsbesparande åtgärder.|2
Färdigställandet av återvinningsanläggningen är en viktig länk i kedjan för att skapa ett avfallshanteringssystem i Dubna-regionen som uppfyller EU:s standarder.|2
Däremot minskade företagets nettoförlust för tredje kvartalet X till X miljoner euro från X miljoner euro för motsvarande period för ett år sedan.|2
Reduktionerna kommer att vara avslutade hösten X .|1
Som ett resultat av detta kommer antalet anställda i Finland att minska med X .|1
Beroende på marknadssituationen säljs sådana projekt efter X till X år efter färdigställandet.|1
Nedan beskrivs förändringen av innehavet enligt X kap. X § lagen om värdepappersmarknaden.|1
Rörelseresultatet för verksamheten i Finland under rapportperioden uppgick till X,X miljoner euro, vilket är kvar på X års nivå.|1
Alla Raisios divisioner redovisade ett rörelseresultat.|2
Pearl Plaza LLC , samriskföretaget mellan SRV och Shanghai Industrial Investment Holdings Co Ltd , har slutfört investeringsbeslutet om byggandet av den första fasen av köpcentret i Sankt Petersburg , Ryssland .|2
Inga förändringar i medieaktiviteten sågs i oktober jämfört med september.|1
Om den anställde lämnar företaget inom skyddets varaktighet återförs de pengar som investerats för att säkerställa engagemanget till företaget.|1
Efter att aktieköpet är genomfört kommer finansiering också att tillhandahållas för att utöka Lettlands bredbandsinfrastruktur och för att utveckla nya affärsområden, inklusive förvärv av andra företag. &#X;&#X;|2
Kapitalökningen har registrerats i Finlands handelsregister den X november X.|2
Både rörelseresultatet och nettoomsättningen för niomånadersperioden ökade med X,X % respektive X,X % jämfört med motsvarande period X .|2
Investeringar offentliggörs inte.|1
Scanfil, en systemleverantör och kontraktstillverkare till kommunikationssektorn, kommer att inleda personalförhandlingar i Uleåborg i Finland för att tillfälligt säga upp personal.|0
Storbritanniens Sarantel lägger ut delar av sina processer till Elcoteq-fabriken i Estland. Tallinn .|1
Centret kommer att byggas i stadsdelen Kapuli i Mantsala vid vägen Hangö-Mantsala-Boråå nära den nya direkta järnvägsförbindelsen mellan Lahtis och Jarvenpaa.|1
S-gruppens trogna kundtidning Yhteishyv+Æ kom tvåa med X X X läsare och Sanoma Abp:s dagstidning Helsingin Sanomat var trea med X X X läsare.|1
Det flyttade till nummer X platsen X när det slogs samman stålverksamhet med Avesta Sheffield för att bilda AvestaPolarit.|1
Stora Enso kommer att erhålla X,X procent av aktierna i det sammanslagna bolaget.|1
Under andra kvartalet X steg koncernens nettovinst till X,X miljoner euro från X,X miljoner euro i april-juni X.|2
Avtalets löptid är X månader.|1
Aktien handlas över både sina MAP:er och X-dagars MAP på SEKX ,X är högre än X-dagars MAP på SEKX ,X, en hausseartad indikator.|2
Eftersom produktionen av övriga produkter kommer att fortgå som vanligt berör tillfälliga permitteringar samtidigt högst X anställda.|0
Det totala värdet av affären är X miljoner USD.|1
Utbytet av chefredaktörer är en del av förlagets mål att öka arbetscirkulationen i alla personalgrupper.|1
Det mesta av utdelningen kommer att gå till familjen Grimaldi .|1
Under X redovisade företaget en nettoomsättning på cirka X miljoner euro.|1
HK Ruokatalo står nu för cirka X % av fjäderfäförsäljningen i Finland och lönsamheten är på en god nivå.|2
EBIT exklusive poster av engångskaraktär beräknades öka från X .|2
Tekla kommer att anordna ett informationsmöte för analytiker och media i WTC Helsinki Marskis mötesrum, Alexandersgatan X, samma dag kl. X.X-X.X. Lätt lunch serveras.|1
Namn på bolag i vilket innehav har förvärvats : Citycon Oyj X .|1
I bokslutet för första kvartalet X redovisas Tikkurila under avvecklad verksamhet.|1
HELSINKI Thomson Financial - Aktierna i Cargotec föll kraftigt i handeln tidigt på eftermiddagen efter att frakthanteringsgruppen noterade en överraskande nedgång i april-juni vinster, vilket överskuggade det stora antalet nya order som tagits emot under de tre månaderna.|0
Rörelseresultatet steg till X,X miljoner euro från X,X miljoner euro under motsvarande period X, vilket motsvarar X,X % av omsättningen.|2
Brasiliens BNP stiger tillbaka till nivåerna före pandemin|2
Enligt Finnair Technical Services beror åtgärden framför allt på sysselsättningssituationen.|1
Porto egendom klarar stormen|2
Brasilien COVID-dödsfall ökar med X X.|0
ISMS avslöjar inte sina ekonomiska resultat , sa tidningen .|1
De är i en kapplöpning med Google för att få många användare till sin tjänst eftersom sociala nätverk skapar nya affärsmodeller, säger Martin Garner, en Londonbaserad analytiker med CCS Insight.|1
Affären omfattar Stockmann Auto Oy Ab:s försäljnings- och eftermarknadstjänster avseende Volkswagen och Audi i Helsingfors, Esbo och Vanda.|1
Stockmann grundades X i Finland och blev det första utländska företaget som gick in på Rysslands detaljhandelsmarknad X.|1
Förlusten före skatt uppgick till X,X miljoner euro, jämfört med en förlust på X,X miljoner euro första kvartalet X.|2
- Inge Larsen (CFO), X X aktier, motsvarande X,X % av aktiekapitalet.|1
Skogster fungerar för närvarande som chef för ABB Oy:s systemmoduler för lågspänningsfrekvensomriktare.|1
Företaget är väl positionerat i Brasilien och Uruguay.|2
&quot; Neste Oil har svarat på utmaningen från EU : s mål att biobränslen ska stå för X,X % av trafikbränsleanvändningen i EU till X genom att utveckla sin NExBTL - teknik för att producera diesel från förnybara energikällor , &quot; sa federationen .|2
Vinsten per aktie ( EPS ) X minskade till X ,X euro från X ,X euro X .|0
Efter denna ökning är Huhtamakis registrerade aktiekapital X ,X miljoner euro och antalet utestående aktier är X X X .|1
Efter pilotering kommer instrumentet att vidareutvecklas enligt de erfarenheter som gjorts.|1
Våra kunder har nu chansen att göra bokningar för alla tjänster de vill ha på en och samma plats, säger Mikko Tuomainen, ansvarig för Finnairs Internet (försäljning).|2
Vattenministeriet i Tanzania har tilldelat Poyry ett vatten- och sanitetsteknikuppdrag för rehabilitering och utbyggnad av vattenförsörjnings- och sanitetsinfrastruktur i Bukoba och Musoma, belägen vid Victoriasjön i norra Tanzania.|2
Under andra kvartalet X uppgick resultatet före skatt till X,X miljoner euro , en minskning från X,X miljoner euro under andra kvartalet X .|0
Det ursprungliga kontraktet skrevs på i somras.|1
Med den nya produktionsanläggningen skulle företaget öka sin kapacitet för att möta den förväntade ökade efterfrågan och skulle förbättra användningen av råvaror och därmed öka produktionslönsamheten.|2
Plattans kanter i kontakt med bandet är försedda med en tätning som har ett utsprång riktat mot mitten av plattan, och organ är anordnade för att utöva och upprätthålla ett tryck i den volym som definieras av plattan, bandet och tätningen. &#X;&#X;|1
På så sätt har branschens utgångspunkt varit konsumenternas behov.|1
I posten ingick omstruktureringskostnader på X,X miljoner euro, medan de ett år tidigare var X,X miljoner euro. Vinst per aktie efter utspädning uppgick till X,X EUR jämfört med en förlust per aktie på X,X EUR.|2
ner till X ,X miljoner euro HX &#X;X X augusti X - Den finska mediekoncernen Ilkka-Yhtyma Oyj ( HEL : ILKXS ) sa idag att dess nettovinst sjönk med X % jämfört med året innan till X ,X miljoner euro under första halvåret X .|0
Rörelseresultatet uppgick till X,X miljoner euro, en ökning från -X,X miljoner euro.|2
Rörelseresultatet för Kauppalehti - koncernen steg till X,X miljoner euro från X,X miljoner euro och för Marketplaces till X,X miljoner euro från X,X miljoner euro under tredje kvartalet X .|2
Jag är oerhört glad över detta projekt och det fortsatta samarbetet med Viking Line.|2
Finska kiselwaferteknologiföretaget Okmetic Oyj ( OMX Helsinki : OKMXV ) rapporterade torsdagen ( X augusti ) ett rörelseresultat på X,X miljoner euro för perioden januari-juni X , upp från X,X miljoner euro under motsvarande period X .|2
De största säljarna i kedjans stormarknader i Finland är ekologiska Pirkka-tomater, morötter, ägg och köttprodukter.|1
Resultatet efter skatt uppgick till X,X miljoner euro jämfört med en förlust på X,X miljoner euro.|2
Vinst per aktie EPS under första kvartalet uppgick till en förlust på X,X EUR.|1
Priset på råvaran aluminium steg i slutet av X, men företaget bedömer att utsikterna för X är gynnsamma.|2
Målet är en årlig förbättring av Ruukki Constructions rörelsevinst på mer än X miljoner EUR X,X miljoner från och med X.|2
Effekten av besparingarna kommer att märkas från och med början av X .|2
När produkten tillverkas i Finland förpackas den även i landet.|1
Det eleganta och glada finska designhuset Marimekko har skickat ut sina geometriska textilier i världen under de senaste X åren.|1
M-real planerar att avbryta produktionen av standardbestruket finpapper vid bruken i Hallein och Gohrsm++hle.|1
Den finska heminrednings- och konsthantverkshandlaren Tiimari Plc ( OMX Helsinki : TIIXV ) rapporterade måndagen ( X augusti ) en rörelseförlust på X ,X miljoner euro på en omsättning på X ,X miljoner euro för perioden januari-juni X .|1
Läkemedel - Tjeckien Denna helt nya marknadsanalys ger en tydlig överblick över den faktiska situationen och framtidsutsikterna för läkemedelsmarknaden i Tjeckien.|1
Den franska domstolens beslut hänför sig till anspråken från tjugoen tidigare anställda vid Aspocomp SAS, uppger företaget.|1
Förhandlingarna om socialplanen var en del av det treåriga turn-around-programmet som förväntas säkerställa Salomons framtida konkurrenskraft.|2
Latvenergo har beställt en betydande utbyggnad av nätverksinformationssystemet Tekla Xpower.|2
Nätens elbehov kommer att växa med den nya mobilgenerationen.|1
Det totala antalet bensinstationer har minskat den senaste tiden.|0
Marathon uppskattar värdet av dess återstående andel i Protalix till X miljoner dollar.|1
Taiwans Covid-X-utbrott sprider sig till chipföretag.|0
Efter att dessa transaktioner genomförts kommer Metsos andel att uppgå till mer än X %.|1
RME från Telcontar gör det möjligt för handenheten att beräkna den bästa rutten och inkluderar stöd för användardefinierade rutter, funktionsnavigerbarhet och multimodal routing som till fots och färja.|1
Enligt Seikku kontrolleras detaljhandeln i Finland av X-X stora aktörer, medan livsmedelstillverkarna fortfarande är relativt små.|1
X juni X ( Boy Genius Report levererad av Newstex ) -- Nokia ( NYSE : NOK ) NX , va ?|1
Talentums nettoomsättning i september var lägre än väntat.|0
Antalet inkomna anbud för detta kontrakt är två.|1
Rörelsemarginalen för Aker Yards Cruise &amp; Ferries division sjönk från X,X % till X,X % under första kvartalet X .|0
CapMan, en kapitalförvaltare, har förvaltat tillgångar till ett värde av X miljarder euro i Norden.|1
Lösningen kommer nu att utökas till att omfatta alla markpersonalsuppgifter.|1
Talvivaara är noterat på London Stock Exchange Main Market och NASDAQ OMX Helsinki och ingår i FTSE X Index.|1
Vacon kommer att leverera frekvensomriktare till Ruselprom i effektområdet från X kW upp till X MW.|1
Gruppen upprepade sin prognos att telefontillverkare kommer att sälja cirka X miljoner enheter i år globalt.|1
Försäljningen för Tiimari-segmentet minskade med X,X % på årsbasis till X ,X miljoner euro i juni X.|0
Covid-X-katastrofen kan göra den globala bristen ännu värre.|0
Rimi supermarket är nyckelkunden i Magistral center.|1
hybridobligation X januari X - Finska IT-konsultföretaget Trainers&#X; House Oyj HEL: TRHXV sa i fredags att de beslutade att emittera en hybridobligation på X miljoner euro till inhemska investerare i ett försök att stärka sin kapitalstruktur.|1
TeliaSonera samarbetar med Friends, en svensk organisation mot mobbning, för att bekämpa mobbning av barn och tonåringar via elektroniska kanaler.|1
Anbudspriset är X miljoner dollar, inklusive kontanter på X miljoner dollar som nettoskuldövertagande av FACE, och X miljoner dollar i Cencorp-aktier som ska emitteras till Savcor.|1
Motorn har en elektrisk effekt på X X kW, vilket gör den till världens största gasdrivna generatoraggregat.|1
Den totala projekttiden är tre år och det värderas till cirka X,X miljoner euro.|1
Den nyinrättade positionen har inrättats för att stärka Amer Sports ledning inom strategisk planering och genomförande.|2
Friskvårdstjänster kommer att vara viktiga i framtiden.|1
Kones nettoomsättning ökade med cirka X % på årsbasis under de första nio månaderna X .|2
HELSINKI AFX-Outokumpu Technology sa att de har undertecknat ett avtal på X,X miljoner euro med Mongoliets Erdenet Mining Corporation för konstruktion av den första HydroCopper-anläggningen som ska byggas vid Erdenet-gruvan.|2
Vi tillhandahåller följande helt nya marknadsanalyser Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Filippinerna Dessa analyser ger en tydlig överblick över den faktiska situationen och framtidsutsikterna för cementindustrin i vissa asiatiska länder.|1
Villkoren för Option Scheme X finns tillgängliga på koncernens hemsida.|1
ADPnews - X juli X - Finlandsbaserade ståltillverkaren Rautaruukki Oyj Ruukki HEL : RTRKS sa idag att det sjönk till en nettoförlust på X miljoner EUR X,X miljoner USD för första halvåret X från en nettovinst på X EUR|0
Sjöfartsverket har stängt Furusundskanalen, som Viking Line normalt chartrar på väg till Stockholm.|1
Bank of Japan kommer att sätta riktlinjer när det är dags att sälja ETF:er, säger Kuroda|1
Det verkliga värdet av CapMan Plcs egna investeringar uppgick den X september X till X,X MEUR.|1
Företaget kan dock inte ge upp palmolja helt och hållet.|1
STORA ENSO, NORSKE SKOG, M-REAL, UPM-KYMMENE Credit Suisse First Boston (CFSB) höjde det verkliga värdet för aktierna i fyra av de största nordiska skogskoncernerna.|2
Resultatet före skatt uppgick till X,X miljoner euro , en minskning från X,X miljoner euro X .|0
En webbsändning med ljud kommer att finnas tillgänglig live och arkiveras på Cerners webbplats på www.cerner.com.|1
Rory Fitzgerald , general manager , operations , Bristol Port , sa : Med användningen av lågunderhållsteknik kan vi spara upp till X procent på service, plus den lastkännande hydrauliken kan spara oss ytterligare X till X procent på bränsle konsumtion. &#X;&#X;|2
Den finska elektronikkontraktstillverkaren Scanfil redovisar en nettoomsättning på X,X miljoner euro X, en minskning från X,X miljoner euro X.|0
Outokumpu i Finland, tillverkare av rostfritt stål, planerar att ingå ett leveransavtal med Indian Railways.|2
Bolaget innehar för närvarande inga egna aktier.|1
Den officiella invigningen av kontoret, som ligger i Prag, kommer att firas den X maj.|1
Rörelseresultatet uppgick till X,X miljoner euro , en ökning från X,X miljoner euro X , vilket motsvarar X,X % av omsättningen .|2
